C0027627	TP63
C4020876	AFF4
C4280564	FGFR3
C0009676	CCR1
C1842366	PACS1
C0022593	CAT
C0431362	NODAL
C0042514	CALM1
C0234518	CA8
C3554079	EARS2
C4020848	ADA2
C1849193	TGM5
C0235991	ACTB
C0030293	STX1A
C2973725	COL1A2
C0563243	SDCCAG8
C1861443	SETBP1
C4020958	TINF2
C3714756	WT1
C3493776	TSHR
C0036572	ADAMTSL2
C0233715	NDN
C0234629	CRX
C0018784	PDE6B
C0024668	TNFSF10
C0426891	DVL1
C0020456	HNF1A
C0018800	CABIN1
C0023264	SLC19A3
C0004096	PYHIN1
C1861403	ALAS2
C1857287	WFS1
C1848570	ITGA3
C0002736	VAPB
C0917816	FANCB
C0240635	DBH
C0022665	CCND1
C0042900	SH2B3
C0030305	CCK
C1842876	SMARCA4
C1845447	FGF10
C1858719	PLXND1
C0221013	KIT
C4280582	GRIP1
C0038990	SDHC
C0401151	PKP1
C1847906	FIG4
C0027746	CHMP2B
C0525045	ERDA1
C0027859	NF2
C0220994	GLUL
C0239676	PEX10
C2315100	PEX16
C0027643	TYMS
C0036341	NRIP1
C0027055	MAPK9
C0151744	ACTB
C1850871	FKTN
C1864897	SIX3
C0038454	PAOX
C1858085	ATRX
C0002170	AR
C0029124	XPA
C4021744	DYM
C0236733	PRKG1
C1857130	RAB3GAP1
C0231246	SLC3A1
C0014544	PEX16
C4024667	PDE4D
C0036341	LHX6
C0026267	HRAS
C0423867	ITGA3
C4021768	DCTN1
C0035229	RAPSN
C0221209	BAZ1B
C1866862	FKTN
C4024753	PRPF31
C1843479	VPS13A
C0026010	DPYD
C4020899	ENTPD1
C0014544	MANBA
C1849340	ANKRD11
C1832160	PHOX2B
C1837073	PCYT1A
C0240340	RBBP8
C0007621	MDM2
C0036341	NTSR1
C0917816	MID2
C0424295	PAK3
C0024236	INPPL1
C0855329	SCNN1B
C1864897	STS
C0086543	NR2E3
C0030232	RPS19
C0009404	GRID1
C1458140	GP9
C0424503	ETFA
C0086543	CPT2
C0241760	MAFB
C0085602	KCNJ1
C4280369	MAP2K2
C0520927	RAF1
C0334588	FGFR3
C0027746	LRRK2
C0000737	SOX10
C0456132	MVK
C1864897	CEP152
C1856468	LMNA
C0011881	TXNIP
C0026827	DGCR2
C0151889	LINS1
C4280381	LIFR
C0085684	NEFL
C0042063	SAMD9
C0521619	HOXD13
C0086543	PEX7
C1834405	KRT86
C0266610	GJA5
C0017639	BCS1L
C0020224	GPC4
C0020503	IL6
C1865186	PAM16
C0023893	INSIG2
C4021976	POT1
C0025362	SLC29A3
C0024776	BCKDHB
C0576093	HBB
C0263401	PDSS1
C0020255	ZBTB20
C0009806	IKBKAP
C1850493	TRNH
C1458155	HRAS
C0024433	ACTG1
C0270850	ME2
C3714497	TBX21
C0423867	PCNT
C0028738	SYNE1
C0423083	ANO10
C0003028	SPTLC2
C1839764	XRCC4
C3888004	HPS5
C0028738	PEX26
C0231246	SBDS
C0035334	CERKL
C1855019	PEX16
C0014544	CHRNA4
C1842003	DPM3
C4021761	MAPT
C1970705	KRAS
C0005779	KRAS
C1260899	RPL15
C0038358	EPO
C0395837	LETM1
C0003811	ND6
C0151611	ARG1
C0020437	SLC34A1
C1832446	HDAC4
C1384666	TINF2
C0221356	SMC1A
C0014866	TERC
C0014170	AKR1B1
C0011849	GATA6
C4025846	VPS13A
C4072827	LZTFL1
C0029463	MIR130B
C1843367	FGFR2
C0023470	HDAC2
C0265998	LAMC2
C0009404	NT5C
C0262404	PLK4
C0242339	LDLR
C1866862	TRNT1
C3150879	ZNF513
C0005586	FGF17
C4020899	CENPE
C4020876	GBE1
C1837514	CBL
C0242647	BCL10
C4021786	COL7A1
C0348616	MYPN
C0034012	HS6ST1
C4280651	SH2B1
C0027746	XDH
C0011581	DRD1
C0344315	CRP
C0019288	COL1A1
C0011175	CA12
C0454644	DHTKD1
C0036572	TUBA8
C3163798	COL6A1
C4020899	DSTYK
C0029456	EIF2AK3
